sma_fast,sma_slow,rsi_lower,rsi_upper,momentum_threshold,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,num_trades,avg_trade_pnl,final_capital,timeframe
15,40,35,75,5e-05,-24.09500000000002,-0.4039034285337486,-37.84079161128327,0.4074074074074074,0.7735671814352951,108,-20.310185185185272,7590.499999999998,4H
15,40,35,75,0.0001,-24.46100000000002,-0.4105833656249303,-38.20115197164364,0.40186915887850466,0.7700643832088581,107,-20.86074766355149,7553.899999999998,4H
15,50,25,65,0.0,-6.631000000000239,-0.08736880238240397,-22.439361729375342,0.4342105263157895,0.9328895191575376,76,-6.725000000000338,9336.899999999976,4H
15,50,25,65,5e-05,-3.8250000000003275,-0.018189063854297173,-21.740801711387316,0.44594594594594594,0.9686308608119816,74,-3.1689189189193807,9617.499999999967,4H
15,50,25,65,0.0001,-3.8250000000003275,-0.018189063854297173,-21.740801711387316,0.44594594594594594,0.9686308608119816,74,-3.1689189189193807,9617.499999999967,4H
15,50,25,70,0.0,-11.398000000000321,-0.19833057422794495,-23.535489387475334,0.39325842696629215,0.8879478068386983,89,-10.806741573034117,8860.199999999968,4H
15,50,25,70,5e-05,-8.592000000000407,-0.1307814626097233,-22.501660897234323,0.40229885057471265,0.9188459351904442,87,-7.875862068966032,9140.79999999996,4H
15,50,25,70,0.0001,-8.592000000000407,-0.1307814626097233,-22.501660897234323,0.40229885057471265,0.9188459351904442,87,-7.875862068966032,9140.79999999996,4H
15,50,25,75,0.0,-13.38800000000034,-0.23977319392457597,-22.736234981941653,0.3979591836734694,0.8745912253363435,98,-11.661224489796316,8661.199999999966,4H
15,50,25,75,5e-05,-10.582000000000425,-0.17362863607762255,-21.976844682920017,0.40625,0.90345842203225,96,-9.022916666667157,8941.799999999957,4H
15,50,25,75,0.0001,-10.582000000000425,-0.17362863607762255,-21.976844682920017,0.40625,0.90345842203225,96,-9.022916666667157,8941.799999999957,4H
15,50,30,65,0.0,-5.003000000000211,-0.04576829870090453,-21.10332824271175,0.4444444444444444,0.9522578051721797,72,-4.948611111111429,9499.699999999979,4H
15,50,30,65,5e-05,-2.1970000000002985,0.022928564330155995,-20.433573558025582,0.45714285714285713,0.9891160364346444,70,-1.1385714285718787,9780.29999999997,4H
