sma_fast,sma_slow,rsi_lower,rsi_upper,momentum_threshold,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,num_trades,avg_trade_pnl,final_capital,timeframe
20,40,30,70,0.0,-7.232999999998974,-3.928220966138214,-9.411718627603797,0.3567251461988304,0.8260413340025009,171,-2.2298245614029626,9276.700000000103,5min
20,40,30,70,5e-05,-6.38099999999904,-3.4762245512584524,-8.914600120967814,0.3575757575757576,0.8548820121520778,165,-1.867272727272207,9361.900000000096,5min
20,40,30,70,0.0001,-6.582999999999065,-3.570148392103936,-9.741969457608576,0.35668789808917195,0.837464004154308,157,-2.1929936305727304,9341.700000000093,5min
20,40,30,75,0.0,-9.348999999999105,-5.071761778888153,-11.041133635110501,0.33519553072625696,0.7571663088774118,179,-3.2229050279325118,9065.10000000009,5min
20,40,30,75,5e-05,-8.49699999999917,-4.629122876780042,-10.535500696091447,0.3352601156069364,0.7816550348953404,173,-2.9115606936411984,9150.300000000083,5min
20,40,30,75,0.0001,-8.572999999999174,-4.648833115438239,-11.242870303219737,0.3333333333333333,0.7703197142608498,165,-3.195757575757147,9142.700000000083,5min
20,40,35,65,0.0,-7.530999999999276,-4.092787556587742,-9.13923553109907,0.3617021276595745,0.7739877182882612,141,-3.341134751772609,9246.900000000072,5min
20,40,35,65,5e-05,-6.880999999999348,-3.7519896457809785,-8.839135372204636,0.362962962962963,0.7936022115812044,135,-3.097037037036626,9311.900000000065,5min
20,40,35,65,0.0001,-6.160999999999294,-3.3170754070054342,-9.062707950052504,0.36220472440944884,0.816639659712402,127,-2.851181102361732,9383.90000000007,5min
20,40,35,70,0.0,-7.29099999999904,-3.932298246340986,-9.192433112009843,0.36538461538461536,0.8053390581976331,156,-2.673717948717438,9270.900000000096,5min
20,40,35,70,5e-05,-6.640999999999113,-3.593325004575413,-8.89225951658629,0.36666666666666664,0.8252879078695122,150,-2.4273333333328466,9335.900000000089,5min
20,40,35,70,0.0001,-6.864999999999109,-3.697372253172609,-9.743715152107525,0.36619718309859156,0.8065182906311883,142,-2.8345070422530148,9313.50000000009,5min
20,40,35,75,0.0,-8.81299999999912,-4.747689738991667,-10.204021172380605,0.3475609756097561,0.7574734811957837,164,-3.373780487804427,9118.700000000088,5min
20,40,35,75,5e-05,-8.162999999999192,-4.414666593543726,-9.898467169083217,0.34810126582278483,0.7749133936203965,158,-3.1664556962021067,9183.70000000008,5min
20,40,35,75,0.0001,-8.260999999999166,-4.446696318734924,-10.630200035404041,0.3466666666666667,0.7622361820400669,150,-3.5073333333328764,9173.900000000083,5min
20,50,25,65,0.0,-7.743000000000083,-4.205460900986881,-9.270310192023752,0.3382352941176471,0.7698932612579582,136,-3.693382352941201,9225.699999999992,5min
20,50,25,65,5e-05,-7.101000000000076,-3.8612034836082945,-8.674082094694471,0.36220472440944884,0.785233319207042,127,-3.5913385826772055,9289.899999999992,5min
20,50,25,65,0.0001,-6.247000000000061,-3.386128449988133,-7.86297863963,0.3416666666666667,0.8111623797368926,120,-3.2058333333333517,9375.299999999994,5min
20,50,25,70,0.0,-7.287000000000135,-3.87176301356766,-9.29770449018339,0.32867132867132864,0.8001625062068307,143,-3.095804195804264,9271.299999999987,5min
20,50,25,70,5e-05,-6.70100000000013,-3.563212527172889,-8.754471608988778,0.35074626865671643,0.8137477419055948,134,-3.000746268656811,9329.899999999987,5min
20,50,25,70,0.0001,-5.847000000000117,-3.0980627141243624,-7.839397592742806,0.33070866141732286,0.8404265585794206,127,-2.603937007874091,9415.299999999988,5min
20,50,25,75,0.0,-8.193000000000048,-4.398262722810307,-10.954622740719666,0.3246753246753247,0.7867183915237962,154,-3.3201298701298962,9180.699999999995,5min
20,50,25,75,5e-05,-7.07900000000005,-3.8052242929791453,-9.895173253951922,0.35172413793103446,0.8181066376496162,145,-2.882068965517293,9292.099999999995,5min
20,50,25,75,0.0001,-6.123000000000065,-3.279465336525197,-8.885221098961678,0.3333333333333333,0.849064225124542,138,-2.4369565217391935,9387.699999999993,5min
20,50,30,65,0.0,-6.685000000000072,-3.6380707003627815,-8.228458887247768,0.3484848484848485,0.8023551255741224,132,-3.064393939393949,9331.499999999993,5min
20,50,30,65,5e-05,-5.647000000000044,-3.0734245738095964,-7.823535165802616,0.37398373983739835,0.8380260215490949,123,-2.591056910569115,9435.299999999996,5min
20,50,30,65,0.0001,-4.7930000000000295,-2.595876345930574,-7.816439737771025,0.35344827586206895,0.8685343681888266,116,-2.1318965517241235,9520.699999999997,5min
20,50,30,70,0.0,-6.229000000000124,-3.315365081809798,-8.251774522016033,0.3381294964028777,0.8341029341029309,139,-2.4812949640288315,9377.099999999988,5min
20,50,30,70,5e-05,-5.115000000000127,-2.7196896798993886,-7.18718501096913,0.36153846153846153,0.8740106201783335,130,-1.9346153846154694,9488.499999999987,5min
20,50,30,70,0.0001,-4.261000000000113,-2.25175076474743,-6.407144266824603,0.34146341463414637,0.9056919935068296,123,-1.4642276422764877,9573.899999999989,5min
20,50,30,75,0.0,-5.373000000000047,-2.8641720659336065,-8.183042251860044,0.34,0.8874822190611653,150,-1.5820000000000154,9462.699999999995,5min
20,50,30,75,5e-05,-4.259000000000051,-2.2634471966592296,-7.124681933842282,0.36879432624113473,0.9283794545092545,141,-1.0205673758865654,9574.099999999995,5min
20,50,30,75,0.0001,-3.3030000000000657,-1.737090504241085,-6.7150192303937555,0.35074626865671643,0.967883286936794,134,-0.46492537313438004,9669.699999999993,5min
20,50,35,65,0.0,-5.11400000000016,-2.8017570947216055,-8.48735925217765,0.3482142857142857,0.8370471168566024,112,-2.56607142857153,9488.599999999984,5min
20,50,35,65,5e-05,-4.747000000000135,-2.6234682241541014,-8.457385898904016,0.36893203883495146,0.8427459472113243,103,-2.608737864077778,9525.299999999987,5min
20,50,35,65,0.0001,-2.3030000000001563,-1.23745801565697,-8.04313806821396,0.34375,0.975391930095082,96,-0.3989583333334856,9769.699999999984,5min
20,50,35,70,0.0,-4.302000000000189,-2.301820550585719,-7.176311509141933,0.33613445378151263,0.8919192487206802,119,-1.6151260504202969,9569.799999999981,5min
20,50,35,70,5e-05,-3.8590000000001963,-2.0656515496158163,-7.145296143452333,0.35454545454545455,0.9035184646699517,110,-1.5081818181819895,9614.09999999998,5min
20,50,35,70,0.0001,-1.4150000000002183,-0.7108132746950545,-6.655009650480694,0.3300970873786408,1.0411562021439362,103,0.6262135922327946,9858.499999999978,5min
20,50,35,75,0.0,-2.108000000000138,-1.092517855522471,-7.034909497465212,0.35384615384615387,1.0284705746195164,130,0.3784615384614401,9789.199999999986,5min
20,50,35,75,5e-05,-1.6650000000001455,-0.8507351677411833,-7.005000143958134,0.371900826446281,1.0459469328140114,121,0.6239669421486256,9833.499999999985,5min
20,50,35,75,0.0001,0.3489999999998509,0.2716288951003009,-6.551867376609706,0.3508771929824561,1.1738296746892236,114,2.3061403508770417,10034.899999999985,5min
20,60,25,65,0.0,-8.086000000000004,-4.381526265115702,-9.478248016948397,0.3333333333333333,0.7125115218551412,108,-5.487037037037019,9191.4,5min
20,60,25,65,5e-05,-9.114000000000033,-4.940073936769559,-9.766564021059015,0.3137254901960784,0.6548931603083217,102,-6.9352941176470875,9088.599999999997,5min
