entry_bar,exit_bar,entry_price,exit_price,direction,pnl,costs,net_pnl
2146,2159,1.164075,1.16568,SHORT,-32.10000000000157,2.0,-34.10000000000157
2160,2173,1.16568,1.16353,LONG,-43.000000000001926,2.0,-45.000000000001926
2174,2221,1.16353,1.163645,SHORT,-2.300000000001745,2.0,-4.300000000001745
2222,2256,1.163645,1.163045,LONG,-11.999999999998678,2.0,-13.999999999998678
2257,2331,1.163045,1.165735,SHORT,-53.79999999999718,2.0,-55.79999999999718
2332,2441,1.165735,1.168935,SHORT,-64.00000000000183,2.0,-66.00000000000183
2442,2460,1.168935,1.167845,LONG,-21.800000000000708,2.0,-23.800000000000708
2461,2525,1.167845,1.16712,SHORT,14.500000000001734,2.0,12.500000000001734
2526,2533,1.16712,1.16665,LONG,-9.399999999999409,2.0,-11.399999999999409
2534,2619,1.16665,1.16652,SHORT,2.5999999999992696,2.0,0.5999999999992696
2620,2646,1.16652,1.16562,LONG,-17.999999999998018,2.0,-19.999999999998018
2647,2711,1.16562,1.166595,SHORT,-19.499999999998963,2.0,-21.499999999998963
2712,2750,1.166595,1.164805,SHORT,35.799999999999166,2.0,33.799999999999166
2751,2792,1.164805,1.165335,SHORT,-10.599999999998388,2.0,-12.599999999998388
2793,2818,1.165335,1.164395,LONG,-18.799999999998818,2.0,-20.799999999998818
2819,2891,1.164395,1.16446,SHORT,-1.2999999999996348,2.0,-3.299999999999635
2892,2922,1.16446,1.16426,LONG,-3.9999999999995595,2.0,-5.9999999999995595
2923,2935,1.16426,1.16498,SHORT,-14.399999999996638,2.0,-16.399999999996638
2936,2964,1.16498,1.16512,LONG,2.80000000000058,2.0,0.8000000000005798
2965,2968,1.16512,1.16538,LONG,5.20000000000298,2.0,3.20000000000298
2969,2999,1.16538,1.164565,LONG,-16.300000000000203,2.0,-18.300000000000203
3000,3019,1.164565,1.16528,SHORT,-14.300000000000423,2.0,-16.300000000000423
3020,3063,1.16528,1.16481,LONG,-9.40000000000385,2.0,-11.40000000000385
3064,3143,1.16481,1.163885,SHORT,18.499999999996852,2.0,16.499999999996852
