date,open,high,low,close,volume
2026-01-21 04:35:00-05:00,1.170765,1.170875,1.170715,1.170805,-1.0
2026-01-21 04:40:00-05:00,1.170805,1.17083,1.170485,1.170605,-1.0
2026-01-21 04:45:00-05:00,1.170605,1.170665,1.17043,1.170515,-1.0
2026-01-21 04:50:00-05:00,1.170515,1.170525,1.170315,1.170385,-1.0
2026-01-21 04:55:00-05:00,1.170385,1.17042,1.17013,1.170355,-1.0
2026-01-21 05:00:00-05:00,1.170355,1.17065,1.17027,1.17063,-1.0
2026-01-21 05:05:00-05:00,1.17063,1.170855,1.170605,1.170765,-1.0
2026-01-21 05:10:00-05:00,1.170765,1.170845,1.170465,1.17061,-1.0
2026-01-21 05:15:00-05:00,1.17061,1.170795,1.17047,1.170585,-1.0
2026-01-21 05:20:00-05:00,1.170585,1.170685,1.170455,1.17064,-1.0
2026-01-21 05:25:00-05:00,1.17064,1.170715,1.170415,1.170465,-1.0
2026-01-21 05:30:00-05:00,1.170465,1.17049,1.170145,1.17039,-1.0
2026-01-21 05:35:00-05:00,1.17039,1.170515,1.17034,1.170395,-1.0
2026-01-21 05:40:00-05:00,1.170395,1.170845,1.170375,1.170765,-1.0
2026-01-21 05:45:00-05:00,1.170765,1.170835,1.170575,1.170655,-1.0
2026-01-21 05:50:00-05:00,1.170655,1.170755,1.170575,1.170715,-1.0
2026-01-21 05:55:00-05:00,1.170715,1.17086,1.170625,1.170705,-1.0
2026-01-21 06:00:00-05:00,1.170705,1.170735,1.17047,1.170605,-1.0
2026-01-21 06:05:00-05:00,1.170605,1.1708,1.170535,1.170775,-1.0
2026-01-21 06:10:00-05:00,1.170775,1.170885,1.170585,1.170585,-1.0
2026-01-21 06:15:00-05:00,1.170585,1.170825,1.170395,1.17082,-1.0
2026-01-21 06:20:00-05:00,1.17082,1.171115,1.170815,1.171105,-1.0
2026-01-21 06:25:00-05:00,1.171105,1.171655,1.171105,1.17127,-1.0
2026-01-21 06:30:00-05:00,1.17127,1.171345,1.171145,1.171145,-1.0
2026-01-21 06:35:00-05:00,1.171145,1.17169,1.171145,1.171665,-1.0
2026-01-21 06:40:00-05:00,1.171665,1.171685,1.17131,1.17144,-1.0
2026-01-21 06:45:00-05:00,1.17144,1.17176,1.171405,1.171755,-1.0
2026-01-21 06:50:00-05:00,1.171755,1.171985,1.171705,1.171835,-1.0
2026-01-21 06:55:00-05:00,1.171835,1.17205,1.171215,1.171415,-1.0
2026-01-21 07:00:00-05:00,1.171415,1.171605,1.171215,1.171525,-1.0
2026-01-21 07:05:00-05:00,1.171525,1.171745,1.171455,1.17166,-1.0
2026-01-21 07:10:00-05:00,1.17166,1.17218,1.171655,1.172075,-1.0
2026-01-21 07:15:00-05:00,1.172075,1.172165,1.17191,1.172085,-1.0
2026-01-21 07:20:00-05:00,1.172085,1.17233,1.172065,1.172295,-1.0
2026-01-21 07:25:00-05:00,1.172295,1.17247,1.172135,1.172455,-1.0
2026-01-21 07:30:00-05:00,1.172455,1.172855,1.17243,1.172795,-1.0
2026-01-21 07:35:00-05:00,1.172795,1.17297,1.17273,1.172885,-1.0
2026-01-21 07:40:00-05:00,1.172885,1.173175,1.172875,1.173035,-1.0
2026-01-21 07:45:00-05:00,1.173035,1.173325,1.173035,1.173325,-1.0
2026-01-21 07:50:00-05:00,1.173325,1.17349,1.173245,1.17348,-1.0
2026-01-21 07:55:00-05:00,1.17348,1.173585,1.173375,1.173485,-1.0
2026-01-21 08:00:00-05:00,1.173485,1.17358,1.17324,1.173435,-1.0
2026-01-21 08:05:00-05:00,1.173435,1.173935,1.173375,1.17388,-1.0
2026-01-21 08:10:00-05:00,1.17388,1.173975,1.173485,1.17359,-1.0
2026-01-21 08:15:00-05:00,1.17359,1.173675,1.17322,1.173335,-1.0
2026-01-21 08:20:00-05:00,1.173335,1.173425,1.172965,1.17311,-1.0
2026-01-21 08:25:00-05:00,1.17311,1.173215,1.172875,1.173095,-1.0
2026-01-21 08:30:00-05:00,1.173095,1.173215,1.172905,1.173125,-1.0
2026-01-21 08:35:00-05:00,1.173125,1.173435,1.17299,1.17326,-1.0
2026-01-21 08:40:00-05:00,1.17326,1.173535,1.173055,1.173535,-1.0
2026-01-21 08:45:00-05:00,1.173535,1.173625,1.17321,1.173575,-1.0
2026-01-21 08:50:00-05:00,1.173575,1.17431,1.173525,1.174225,-1.0
2026-01-21 08:55:00-05:00,1.174225,1.174305,1.173615,1.17396,-1.0
