date,open,high,low,close,volume
2023-07-26,1.10545,1.11068,1.103785,1.108595,-1.0
2023-07-27,1.1086,1.115,1.09655,1.09765,-1.0
2023-07-28,1.0978,1.1048,1.09435,1.10145,-1.0
2023-07-31,1.1021,1.1046,1.09935,1.0997,-1.0
2023-08-01,1.0996,1.1003,1.0952,1.09845,-1.0
2023-08-02,1.09825,1.10205,1.09175,1.0938,-1.0
2023-08-03,1.09385,1.0963,1.0912,1.0949,-1.0
2023-08-04,1.0945,1.10425,1.09345,1.10075,-1.0
2023-08-07,1.10185,1.10195,1.0965,1.10025,-1.0
2023-08-08,1.1004,1.10115,1.0929,1.09565,-1.0
2023-08-09,1.0956,1.09955,1.0952,1.0974,-1.0
2023-08-10,1.0976,1.10655,1.0967,1.0981,-1.0
2023-08-11,1.09825,1.10055,1.0943,1.09475,-1.0
2023-08-14,1.09535,1.09605,1.08745,1.09055,-1.0
2023-08-15,1.091,1.09525,1.08965,1.0906,-1.0
2023-08-16,1.09035,1.0935,1.08715,1.08795,-1.0
2023-08-17,1.08785,1.09185,1.0856,1.08725,-1.0
2023-08-18,1.08675,1.0894,1.0845,1.0873,-1.0
2023-08-21,1.08725,1.091385,1.086965,1.08959,-1.0
2023-08-22,1.08955,1.093045,1.0833,1.084565,-1.0
2023-08-23,1.0844,1.087165,1.080245,1.086295,-1.0
2023-08-24,1.08665,1.087675,1.080505,1.081045,-1.0
2023-08-25,1.081075,1.084185,1.07658,1.07961,-1.0
2023-08-28,1.079625,1.08223,1.079355,1.08189,-1.0
2023-08-29,1.0816,1.0892,1.078225,1.08801,-1.0
2023-08-30,1.0876,1.09457,1.085515,1.09232,-1.0
2023-08-31,1.092505,1.093955,1.083505,1.084345,-1.0
2023-09-01,1.08487,1.088215,1.077215,1.07816,-1.0
2023-09-04,1.07785,1.08089,1.07716,1.079505,-1.0
2023-09-05,1.07925,1.079845,1.07062,1.07222,-1.0
2023-09-06,1.0724,1.07489,1.07027,1.07274,-1.0
2023-09-07,1.072425,1.07318,1.068605,1.069635,-1.0
2023-09-08,1.069775,1.074395,1.06942,1.069915,-1.0
2023-09-11,1.071375,1.07594,1.07085,1.075025,-1.0
2023-09-12,1.074775,1.07693,1.070555,1.075395,-1.0
2023-09-13,1.0754,1.0765,1.07109,1.07296,-1.0
2023-09-14,1.07305,1.075215,1.063195,1.06431,-1.0
2023-09-15,1.064355,1.068785,1.063335,1.065625,-1.0
2023-09-18,1.066325,1.069875,1.06547,1.069185,-1.0
2023-09-19,1.06915,1.0718,1.067515,1.067925,-1.0
2023-09-20,1.06785,1.07369,1.065015,1.066085,-1.0
2023-09-21,1.06603,1.067365,1.06169,1.06616,-1.0
2023-09-22,1.065925,1.06719,1.06151,1.0656,-1.0
2023-09-25,1.0652,1.065565,1.05754,1.05931,-1.0
2023-09-26,1.05942,1.060915,1.056205,1.057255,-1.0
2023-09-27,1.057005,1.057435,1.04882,1.05024,-1.0
2023-09-28,1.0508,1.057895,1.04911,1.056555,-1.0
2023-09-29,1.056225,1.06171,1.055805,1.057405,-1.0
2023-10-02,1.057175,1.059195,1.0477,1.047725,-1.0
2023-10-03,1.047975,1.049355,1.04483,1.04665,-1.0
2023-10-04,1.04685,1.053225,1.045145,1.05039,-1.0
2023-10-05,1.05068,1.055185,1.050005,1.05494,-1.0
2023-10-06,1.054725,1.06,1.04826,1.058535,-1.0
2023-10-09,1.055325,1.057445,1.05196,1.05668,-1.0
2023-10-10,1.05675,1.061985,1.05544,1.060525,-1.0
2023-10-11,1.06045,1.063475,1.058165,1.06196,-1.0
2023-10-12,1.062,1.063975,1.05258,1.052835,-1.0
2023-10-13,1.0529,1.055855,1.04955,1.051105,-1.0
2023-10-16,1.051275,1.05628,1.051035,1.05604,-1.0
2023-10-17,1.05595,1.059495,1.0533,1.05772,-1.0
2023-10-18,1.057705,1.059425,1.052315,1.053665,-1.0
2023-10-19,1.05353,1.06166,1.05282,1.05825,-1.0
2023-10-20,1.058275,1.060375,1.056495,1.05945,-1.0
2023-10-23,1.059675,1.067805,1.05715,1.06699,-1.0
2023-10-24,1.066675,1.06945,1.058305,1.059,-1.0
2023-10-25,1.059425,1.060685,1.056575,1.056645,-1.0
2023-10-26,1.056875,1.056925,1.05219,1.056255,-1.0
2023-10-27,1.056155,1.059715,1.05354,1.05636,-1.0
2023-10-30,1.05642,1.062525,1.054725,1.061525,-1.0
2023-10-31,1.061605,1.067505,1.055765,1.05744,-1.0
2023-11-01,1.057505,1.05807,1.051675,1.05702,-1.0
2023-11-02,1.057045,1.06676,1.05678,1.062175,-1.0
2023-11-03,1.061805,1.074665,1.06149,1.07298,-1.0
2023-11-06,1.0726,1.075635,1.071625,1.07173,-1.0
2023-11-07,1.07165,1.07225,1.06642,1.07001,-1.0
2023-11-08,1.070125,1.071595,1.065935,1.070925,-1.0
2023-11-09,1.07088,1.072555,1.06602,1.066785,-1.0
2023-11-10,1.066875,1.06928,1.06562,1.068355,-1.0
2023-11-13,1.068375,1.07062,1.0665,1.069835,-1.0
2023-11-14,1.06993,1.08875,1.0693,1.0879,-1.0
2023-11-15,1.087875,1.088635,1.08317,1.084725,-1.0
2023-11-16,1.08485,1.08956,1.083015,1.085225,-1.0
2023-11-17,1.0848,1.09158,1.082485,1.090715,-1.0
2023-11-20,1.0911,1.095185,1.089755,1.09402,-1.0
2023-11-21,1.093975,1.09652,1.090015,1.09108,-1.0
2023-11-22,1.091,1.0923,1.085235,1.08883,-1.0
2023-11-23,1.08878,1.09309,1.08835,1.09045,-1.0
2023-11-24,1.090225,1.094865,1.089505,1.093705,-1.0
2023-11-27,1.094345,1.09593,1.092515,1.09534,-1.0
2023-11-28,1.095375,1.100895,1.093445,1.09926,-1.0
2023-11-29,1.09949,1.101725,1.09602,1.09692,-1.0
2023-11-30,1.0969,1.098395,1.08794,1.08878,-1.0
2023-12-01,1.0885,1.09128,1.08288,1.088345,-1.0
2023-12-04,1.0883,1.08949,1.080405,1.08362,-1.0
2023-12-05,1.083275,1.084755,1.077815,1.07964,-1.0
2023-12-06,1.079495,1.080465,1.075875,1.07642,-1.0
2023-12-07,1.0765,1.081775,1.075525,1.07938,-1.0
2023-12-08,1.07944,1.08007,1.07234,1.0765,-1.0
2023-12-11,1.076125,1.0779,1.074165,1.07647,-1.0
2023-12-12,1.07617,1.08285,1.07606,1.07943,-1.0
2023-12-13,1.07954,1.089665,1.077315,1.087425,-1.0
2023-12-14,1.087625,1.100935,1.087345,1.099365,-1.0
2023-12-15,1.09925,1.100375,1.088865,1.089625,-1.0
2023-12-18,1.089625,1.093125,1.08922,1.092355,-1.0
